title,company_name,url,remote,first_seen_at,last_seen_at,lang,juniority_score,source,external_ids_0,external_ids_1,external_ids_2,external_ids_3,external_ids_4,external_ids_5,external_ids_6,external_ids_7,external_ids_8,external_ids_9,locations_0_name,locations_1_name,locations_2_name,locations_3_name,locations_4_name,locations_5_name,locations_6_name,locations_7_name,locations_8_name,locations_9_name,locations_10_name,locations_11_name,locations_12_name,locations_13_name,locations_14_name,locations_15_name,locations_16_name,locations_17_name,locations_18_name,locations_19_name,locations_0_region,locations_1_region,locations_2_region,locations_3_region,locations_4_region,locations_5_region,locations_6_region,locations_7_region,locations_8_region,locations_9_region,locations_10_region,locations_11_region,locations_12_region,locations_13_region,locations_14_region,locations_15_region,locations_16_region,locations_17_region,locations_18_region,locations_19_region,employment_types_0,employment_types_1,employment_types_2,employment_types_3,employment_types_4,employment_types_5,employment_types_6,employment_types_7,employment_types_8,employment_types_9
Vývojář webových aplikací - Frontend,"CZ.NIC, z. s. p. o.",https://junior.guru/jobs/5246c620d0a42b6e660adcb308e44d1832abca6b6a55be343778185f/,False,2020-06-04,2020-06-28,,,juniorguru,juniorguru#5246c620d0a42b6e660adcb308e44d1832abca6b6a55be343778185f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part-time,full-time,,,,,,,,
IT Specialist (Service Desk),Šárka Cerovská,https://junior.guru/jobs/31fbb14fcc7c8917feeb4ea9c94aac4f1b9cfb613440183dafabb456/,False,2020-06-04,2020-06-22,,,juniorguru,juniorguru#31fbb14fcc7c8917feeb4ea9c94aac4f1b9cfb613440183dafabb456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full-time,,,,,,,,,
Junior Android průkopník - POS development,Capacita,https://junior.guru/jobs/9651c7a6a97eaa9bdc9f90c968e49f6bae4d77697ddc5da657eea0a4/,False,2020-06-04,2020-06-11,,,juniorguru,juniorguru#9651c7a6a97eaa9bdc9f90c968e49f6bae4d77697ddc5da657eea0a4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full-time,,,,,,,,,
Web developer,Digismoothie,https://junior.guru/jobs/ceac4c159a5865e2bf2d0fdac3eb00c857c713c7c36098617a360f70/,False,2020-06-04,2020-06-10,,,juniorguru,juniorguru#ceac4c159a5865e2bf2d0fdac3eb00c857c713c7c36098617a360f70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full-time,,,,,,,,,
Software Engineer - DevOps Automation and Quality Engineering,Red Hat,https://junior.guru/jobs/0c8f075109abc90b14b3355cfb71fa6c55f1f7d47dc4c5a11621d77a/,False,2020-06-04,2020-06-04,,,juniorguru,juniorguru#0c8f075109abc90b14b3355cfb71fa6c55f1f7d47dc4c5a11621d77a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full-time,,,,,,,,,
Quality Engineer - OpenShift,Red Hat,https://junior.guru/jobs/4ac19cde20ecfcbe9bbaec31034df785d0304ea9667602fb2c4cd342/,False,2020-06-04,2020-06-04,,,juniorguru,juniorguru#4ac19cde20ecfcbe9bbaec31034df785d0304ea9667602fb2c4cd342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full-time,,,,,,,,,
Quality Engineer - Kernel Storage,Red Hat,https://junior.guru/jobs/2a9bf335f621d61cbbe8cede61609f162900b5a066ffe8030e21ac73/,False,2020-06-04,2020-06-04,,,juniorguru,juniorguru#2a9bf335f621d61cbbe8cede61609f162900b5a066ffe8030e21ac73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full-time,,,,,,,,,
Quality Engineer - System Management,Red Hat,https://junior.guru/jobs/544332b8c74b38c045d64bcd5e9d54b4ca3c46e645db809cad06842e/,False,2020-06-04,2020-06-04,,,juniorguru,juniorguru#544332b8c74b38c045d64bcd5e9d54b4ca3c46e645db809cad06842e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full-time,,,,,,,,,
Quality Engineer - Container Native Virtualization Offering,Red Hat,https://junior.guru/jobs/36088d5962e330d825212aa223a2fb90d836f275c44aaffdf5841201/,False,2020-06-04,2020-06-04,,,juniorguru,juniorguru#36088d5962e330d825212aa223a2fb90d836f275c44aaffdf5841201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full-time,,,,,,,,,
Quality Engineer - OpenShift Container Storage,Red Hat,https://junior.guru/jobs/5d0def9920257faa8cb82633e42f2907a1f41908888323e1f2c2f7c4/,False,2020-06-04,2020-06-04,,,juniorguru,juniorguru#5d0def9920257faa8cb82633e42f2907a1f41908888323e1f2c2f7c4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full-time,,,,,,,,,
Quality Engineer - Cloud Native (Connected Customer Experience),Red Hat,https://junior.guru/jobs/87fb21ef3b68cb5ffefca6ae7aebcc426faf97e556fdededf4924ab4/,False,2020-06-04,2020-06-04,,,juniorguru,juniorguru#87fb21ef3b68cb5ffefca6ae7aebcc426faf97e556fdededf4924ab4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full-time,,,,,,,,,
Developer - RHEL and Fedora,Red Hat,https://junior.guru/jobs/cab8593a6411117a11c1ab3eec78b15932717274ca6f321c80e62e45/,False,2020-06-04,2020-06-04,,,juniorguru,juniorguru#cab8593a6411117a11c1ab3eec78b15932717274ca6f321c80e62e45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full-time,,,,,,,,,
Quality Engineer - Red Hat Business Automation,Red Hat,https://junior.guru/jobs/231ea1d666740b1bbc510d747f2b11a51f7fc87c7dcd840f53e644e1/,False,2020-06-04,2020-06-04,,,juniorguru,juniorguru#231ea1d666740b1bbc510d747f2b11a51f7fc87c7dcd840f53e644e1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full-time,,,,,,,,,
Python Software Engineer - Linux Network Stack,Red Hat,https://junior.guru/jobs/5e603e0d450ad8aff425bc8128e73c5bd69a064f6575a37a7b3d230e/,False,2020-06-04,2020-06-04,,,juniorguru,juniorguru#5e603e0d450ad8aff425bc8128e73c5bd69a064f6575a37a7b3d230e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full-time,,,,,,,,,
Python vývojář - junior,ČSOB,https://junior.guru/jobs/ac2032e6dba1502b76cc39aa615ee9c7bcac56c26ffc113372c92ab5/,False,2020-06-04,2020-05-13,,,juniorguru,juniorguru#ac2032e6dba1502b76cc39aa615ee9c7bcac56c26ffc113372c92ab5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full-time,,,,,,,,,
Letní studentská stáž - Java Developer,AspectWorks,https://junior.guru/jobs/39543b573d1b704001f57deb32bf737a8f96e486ef9cdcd8e84db616/,False,2020-06-04,2020-04-20,,,juniorguru,juniorguru#39543b573d1b704001f57deb32bf737a8f96e486ef9cdcd8e84db616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paid internship,,,,,,,,,
Letní studentská stáž - Salesforce Developer,AspectWorks,https://junior.guru/jobs/5863b2f4698eb604d84bb2001a72c65165e18a73b12d3aedb30a03f4/,False,2020-06-04,2020-04-20,,,juniorguru,juniorguru#5863b2f4698eb604d84bb2001a72c65165e18a73b12d3aedb30a03f4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paid internship,,,,,,,,,
Vývojář - začátečník,dtlab,https://junior.guru/jobs/9ad564e516c5a3939be9b9906d3c5fed8635a30d756301e9113a7385/,True,2020-06-04,2020-04-01,,,juniorguru,juniorguru#9ad564e516c5a3939be9b9906d3c5fed8635a30d756301e9113a7385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paid internship,,,,,,,,,
